Year,Male,Female,Total,Ages 18-25,Ages 26-49,Ages 50 or Older,  Real GDP (millions of chained 2017 dollars) 1,  Gross domestic product (GDP),  Personal income,  Disposable personal income,  Per capita personal income 6,  Per capita disposable personal income 7,  Real GDP (millions of chained 2017 dollars) 1 change,  Gross domestic product (GDP) change,  Personal income change,  Disposable personal income change,  Per capita personal income 6 change,  Per capita disposable personal income 7 change
2008,13.6,21.5,17.7,18.5,20.7,14.1,16781485.0,14769862.0,12423410.0,10917599.0,40854,35902,-2.6,-2.0,-2.9,-0.1,-3.8,-1.0
2009,14.2,21.8,18.1,18.0,21.6,14.5,16349110.0,14478067.0,12058253.0,10907346.0,39307,35555,2.7,3.9,4.1,3.7,3.2,2.8
2010,14.8,21.1,18.1,18.1,20.9,15.1,16789750.0,15048971.0,12547501.0,11311497.0,40557,36562,1.6,3.7,6.0,4.7,5.2,3.9
2011,14.2,21.1,17.8,18.5,20.3,15.0,17052410.0,15599732.0,13299818.0,11848163.0,42649,37994,2.3,4.2,4.6,4.6,3.7,3.8
2012,14.9,22.0,18.6,19.6,21.2,15.8,17442759.0,16253970.0,13905749.0,12398279.0,44237,39442,2.1,3.9,1.1,-0.1,0.4,-0.8
2013,14.4,22.3,18.5,19.4,21.5,15.3,17812167.0,16880683.0,14063283.0,12387353.0,44401,39109,2.5,4.3,5.1,4.9,4.2,4.1
2014,14.1,21.8,18.1,20.1,20.4,15.4,18261714.0,17608138.0,14778160.0,12994137.0,46287,40700,2.9,3.9,4.7,4.1,3.8,3.3
2015,14.3,21.2,17.9,21.7,20.9,14.0,18799622.0,18295019.0,15467113.0,13527926.0,48060,42034,1.8,2.8,2.7,3.0,1.9,2.1
2016,14.5,21.7,18.3,22.1,21.1,14.5,19141672.0,18804913.0,15884741.0,13927450.0,48971,42937,2.5,4.3,4.9,4.9,4.2,4.2
2017,15.1,22.3,18.9,25.8,22.2,13.8,19612102.0,19612102.0,16658962.0,14611591.0,51004,44735,3.0,5.3,5.1,5.7,4.5,5.1
2018,15.2,22.8,19.1,26.3,22.5,14.0,20193896.0,20656516.0,17514402.0,15442207.0,53309,47002,2.5,4.2,4.7,4.6,4.2,4.0
2019,16.3,24.5,20.6,29.4,25.0,14.1,20692087.0,21521395.0,18343601.0,16146403.0,55547,48894,-2.2,-0.9,6.9,7.5,6.5,7.1
2020,15.8,25.8,21.0,30.6,25.3,14.5,20234074.0,21322950.0,19609985.0,17355580.0,59151,52350,5.8,10.7,9.1,7.5,8.9,7.3
2021,18.1,27.2,22.8,33.7,28.1,15.0,21407692.0,23594031.0,21392812.0,18651847.0,64427,56172,1.9,9.1,2.0,0.2,1.6,-0.2
