,Male,Female,Total,Ages 18-25,Ages 26-49,Ages 50 or Older,mental health,depression,mentally ill,mental illness,unwell,not well,struggle,self harm,suicidal,i hate myself,anymore,help me,cutting,pain,kill me,anxiety,social anxiety,worse,unmotivated,lost,trauma,unwanted,bpd,ptsd,suicide,vulnerable,lonely,sad,miserable,low,hopeless,aching,always,never,down,stressed,helpless,worthless,insecure,stuck,hurting,numb,intrusive,don't know why,crying,nothing matters,empty,overwhelmed,hurt,tired,grippy socks,stressy depressy,suey,kms,kill myself,unalive,unaliving,crippling
Male,1.0,0.9103637971623119,0.9645282147212559,0.892303427967404,0.9511459648596601,-0.010257549292092048,0.8428022428690022,0.09903939186695827,-0.4357782114149159,0.5369016730882086,0.7760625988167488,0.8663794570807524,-0.32395714513896556,0.15765603292004382,0.5351849678469862,-0.7107971986126662,0.45812348526870633,0.7377144287685373,0.7077388918205135,0.7093013199288672,0.07509325391590525,0.7774039864068643,0.49814831698237183,0.7743897926837976,0.8559399457943023,-0.4972831200761498,0.8544163872214467,0.5935199812481945,0.9148855482605301,0.7884020383136571,-0.08975804943163018,0.6967122154468197,-0.6958089241720921,0.42145271565436665,-0.4194958488016977,0.7906325041242959,0.12890234619275312,0.5713961165390434,0.7937540485475896,-0.2735721484903976,-0.13238309946752586,0.21016695255630233,-0.025231886336756774,0.4807020119018179,0.7419230608120716,0.5685827877208235,0.7248091788810201,0.2889973810799756,0.8556315051071193,0.6777450653174293,0.5444672564600392,-0.5819100806471491,0.7049349520411257,0.8236018029379601,0.7165740549056534,0.7215503799163046,0.9040227799574818,0.6917559323590184,-0.5477286821618673,0.6026914575554354,0.5214688601907401,0.8155484631398776,0.7815535190438109,0.48633856984413143
Female,0.9103637971623119,1.0,0.9869470213842264,0.9172851955696468,0.9809353200815076,-0.04685979437544321,0.9183938302688711,0.2265822032110186,-0.5220302403370667,0.5586782973154187,0.9078177593722049,0.8830346321328804,-0.24009839902978033,0.20677066606747296,0.5539282274502307,-0.8097424231904794,0.39861838462932603,0.7712534058384709,0.7402902293881942,0.7197921496845919,-0.006525882447843107,0.7941168518512779,0.49455528193795156,0.835830934688187,0.8850396420770515,-0.49302389880278796,0.8689866039652563,0.5964963550123222,0.9293140484444523,0.8020249883711725,-0.169432372954725,0.8550574657420413,-0.7522375640934365,0.35568132434786426,-0.24944601390222254,0.8129027665690848,0.07753472644880803,0.5790484429715909,0.7332423055730132,-0.38248182436960176,-0.14534088123985947,0.1660715851586224,0.03417722620518337,0.4624739025748915,0.809780580583669,0.5527439959779165,0.7046876280312188,0.27777160026733905,0.8983555797833078,0.6853056713601483,0.5595688252122576,-0.6694718980860023,0.7634400323526022,0.8714497939030255,0.6249550077477786,0.6821085719049559,0.8593342976773136,0.8059673069909606,-0.6077728761537698,0.535279257918109,0.5173092217685056,0.7682166733320517,0.6895791225135744,0.44748380621373435
Total,0.9645282147212559,0.9869470213842264,1.0,0.9305758938268008,0.9902769207576856,-0.037184520775442154,0.9095288280339388,0.18498194512782892,-0.49610535800541977,0.5682153804287702,0.874550010468583,0.8998678990682656,-0.28509811405837204,0.19544416269909512,0.5657798469363933,-0.7910481693980189,0.44022952772204654,0.7797735748159054,0.749285979777125,0.7370742695065075,0.029559196583068676,0.8100204082270864,0.5118174139634346,0.835610754242193,0.8959332711597835,-0.5113459816645702,0.881648006352403,0.6151665399039904,0.9451987238490037,0.8199454415181281,-0.1330312413534059,0.8173061411245479,-0.7513725432032464,0.39577811162982035,-0.32505954901647616,0.8246616049566677,0.1019690786685941,0.5954044909540042,0.7789464175229167,-0.34716521538114514,-0.1386481139302354,0.19773556099738251,0.02055813572617804,0.4883229436657155,0.8051424451558902,0.5778912410662362,0.7338006952043343,0.2909000799336711,0.904085493401578,0.704052904206441,0.5733919505148967,-0.656302934120233,0.7632737523939219,0.8756133250474721,0.6807712271450128,0.7182474857625072,0.8955193878979208,0.7794754540848053,-0.5993253679474122,0.5779899545593632,0.5387350446117918,0.7982636321216908,0.7343394557398129,0.4815746604555078
Ages 18-25,0.892303427967404,0.9172851955696468,0.9305758938268008,1.0,0.9261801237536555,-0.3183260320493849,0.9366732871310299,0.43621358732875704,-0.27188381422899427,0.8028184812738675,0.7566778168540327,0.9646209640111698,-0.41448629656737895,0.2774559547277337,0.7197021252808417,-0.9137799857789417,0.6366996757576366,0.9084916410526491,0.9256340940545151,0.8965039885336541,0.2564345090664979,0.9534578521044805,0.6759580167737533,0.9441895363412142,0.9662360317059753,-0.640703217267552,0.9332820702250694,0.8104755577216737,0.9766034666643597,0.9498996346115741,0.026663862389799523,0.8711723986438107,-0.8840290603135894,0.6575241216094125,-0.4997003370673312,0.9574273490231299,0.16186347604764845,0.7832305188254133,0.8514468530941017,-0.4419628514918092,-0.13487619481991206,0.3822703793772229,0.24053659776652023,0.6673953354785015,0.9169969666143842,0.7243772447534036,0.8825648982225813,0.3548997076648646,0.9689054604743984,0.8643815990281971,0.7729781351239468,-0.8447542144444943,0.9211962131851866,0.9340802049949297,0.7828889705935396,0.8736469679126063,0.9177807165923032,0.8287111499682045,-0.7060455861722409,0.7155965338844953,0.7665981582650945,0.6711437855400031,0.5771205966098046,0.7061499358366501
Ages 26-49,0.9511459648596601,0.9809353200815076,0.9902769207576856,0.9261801237536555,1.0,-0.131199330947953,0.9350671821603648,0.24907922912222533,-0.48186082931041163,0.554157050056543,0.8705294603182052,0.8723837522164958,-0.19606966506703818,0.1341345319346863,0.5050137686912869,-0.8193899662141758,0.423522705116855,0.7574628786614362,0.7372821343002872,0.7079676417982994,0.040171210030608855,0.7931711661364748,0.47056779527699,0.8020570287889673,0.8717487505789864,-0.442407748518502,0.9053595685644389,0.5890487566510705,0.9303904838053397,0.7963654589186764,-0.13970608673140364,0.7943271290088735,-0.7412354589071035,0.3642850745231948,-0.2901462866359734,0.8402555735566034,0.022932169562396514,0.5544095269359286,0.7282713140435312,-0.4282769331092097,-0.1833128251586696,0.17889312043063402,0.04337940710131599,0.4306263572858131,0.7852267115120146,0.5174980100695513,0.6940283583737386,0.21337979282170597,0.8803956670691219,0.7016033603543479,0.534720568536781,-0.6482421954191586,0.7394078338492474,0.8393371611604596,0.6223474369851554,0.6794315706625863,0.8815701137419688,0.7838800502150052,-0.6579959794379642,0.5193531876381974,0.5130428508166337,0.7901645043275347,0.723675532599972,0.4759389176609896
Ages 50 or Older,-0.010257549292092048,-0.04685979437544321,-0.037184520775442154,-0.3183260320493849,-0.131199330947953,1.0,-0.3835697176092852,-0.8376985527068915,-0.4206229643726467,-0.4978641652516459,0.05172251726320225,-0.1923853202391391,-0.14278106608354307,0.14977847020769205,-0.10294538511512037,0.5392519756955392,-0.4293359792932413,-0.2891731659300764,-0.4392402204253259,-0.30992854433120326,-0.4430494029025238,-0.36364808465853926,-0.1827710107720568,-0.22985986391411894,-0.20325475974918028,0.004882680901568266,-0.41621965255922966,-0.3641432290858269,-0.18873668311797379,-0.30768809584240436,-0.27962632824674016,-0.1691145613064197,0.35257714310339255,-0.42659150757774256,0.23194043431342531,-0.5174767682067112,0.28719672642911753,-0.27074357455871784,-0.06145232412501733,0.6192325450112609,0.2681643603735156,-0.33035018801979527,-0.6139312659592681,-0.1564209298489718,-0.3068190699701,-0.0943087312764061,-0.24297609552363017,0.18662543064398449,-0.1992766696407701,-0.48206412054437,-0.30679099168535096,0.4737064830502243,-0.3441557018174987,-0.11611493810721175,-0.05725252620556644,-0.2596267328029577,-0.17173738020894583,-0.2747370858272499,0.6422184779125143,-0.07524274135995218,-0.42955498850146123,0.09743531852156133,0.18430918931322268,-0.5451360706559277
mental health,0.8428022428690022,0.9183938302688711,0.9095288280339388,0.9366732871310299,0.9350671821603648,-0.3835697176092852,1.0,0.531968071004419,-0.37638071471513557,0.6431501153067769,0.8202792022598346,0.8493971872185474,-0.10100230812451244,0.006786940874407307,0.48525691320363223,-0.9317478165974257,0.5109264671736342,0.740302286800707,0.8062233309350765,0.724628748950904,0.06978239907857794,0.8267768840895067,0.42053259044287516,0.806859731796741,0.8496780631731723,-0.3703688222615043,0.9787025383116014,0.6090860858409262,0.8937876877853225,0.808287865316339,-0.06627951740379595,0.8169121649731096,-0.7644535611972736,0.43491496811407965,-0.3474141603913382,0.9228234372363574,-0.12050956744954458,0.5538448336754768,0.6595953074979167,-0.5294702655503508,-0.2574965908345155,0.25087057471392366,0.26929425896419484,0.4232325787287605,0.8265469053064476,0.4749783034461468,0.6812119401875034,0.127322018574628,0.8594179369234424,0.8038617082938825,0.5564576905478595,-0.7294806113611997,0.7751350501804535,0.7961116474710038,0.5591580394636252,0.6769050473325607,0.8187944737857055,0.8804436587896028,-0.8225830920595357,0.4504065587720788,0.5708845406192984,0.6585242116176678,0.5519459704838753,0.5894043978894373
depression,0.09903939186695827,0.2265822032110186,0.18498194512782892,0.43621358732875704,0.24907922912222533,-0.8376985527068915,0.531968071004419,1.0,0.2934697985666876,0.5856392297893619,0.08486022251123782,0.2890011526388624,0.09344871309605887,-0.15395218496901353,0.2040531503331554,-0.6573979974372848,0.44167841808724956,0.3721823026677644,0.5615257916467922,0.4149161725695431,0.16891361129559568,0.48134595265384117,0.2000930603652678,0.3667329035780192,0.3080186695518253,-0.06361473636775454,0.5340106039500854,0.39534786063590527,0.27812215573558635,0.403110871685807,0.10679709244730093,0.34580188879894047,-0.46129623313815277,0.4486503359587918,-0.22443024412834656,0.594718559027461,-0.2809673322095042,0.36282254645242845,0.14652949318269115,-0.6700485907326859,-0.3941030217379929,0.26202150399743845,0.6740158595999424,0.24092993396597334,0.44806894541841813,0.1356669450710322,0.31662366530145797,-0.013291665944280719,0.30874674475013897,0.5889158138001195,0.3657994496469018,-0.5652333453746493,0.46246743641525995,0.24066621404445646,0.13184914236051337,0.34468713412424123,0.1764881117527474,0.556511418540858,-0.7155715718933977,0.11558482146801895,0.4942914286616752,-0.15650654213731088,-0.2721929722787061,0.581352238834274
mentally ill,-0.4357782114149159,-0.5220302403370667,-0.49610535800541977,-0.27188381422899427,-0.48186082931041163,-0.4206229643726467,-0.37638071471513557,0.2934697985666876,1.0,0.20557906659039266,-0.6599345167708928,-0.2638275323887899,-0.07139257017408958,0.13038000668061114,-0.04489960884366561,0.17359912504297692,0.2750778813509798,-0.04081854955607101,-0.025825374625566423,-0.05977534629805153,0.1644214328957419,-0.11023547999603117,0.07079397587616025,-0.1907963014816079,-0.27052761603092346,0.047570188346698794,-0.2878181847169706,0.036813600055107365,-0.34974507881217015,-0.16013100501631858,0.3768294730633777,-0.3990340894582289,0.08846282848769323,0.3013630146694567,0.059500557732449916,-0.09970175663905378,-0.03188766718006996,0.09179754786872281,-0.17657253493260364,-0.17607204362638307,-0.18951112270643306,0.2428556149025446,0.4834779299240106,0.011731719067089957,-0.09614807516158694,-0.050530535287451966,-0.06041201758205032,0.12928910338714525,-0.28472655510107137,0.07037147150047991,0.10080976097463178,-0.07907531275083346,-0.08380237229837316,-0.31935511108747,-0.07051608122772063,-0.02103011914917517,-0.26407919397241797,-0.4287427574018122,-0.014602680515155139,-0.012183087748059635,0.23810423950262533,-0.46566398476400866,-0.45045411218339565,0.333868864888877
mental illness,0.5369016730882086,0.5586782973154187,0.5682153804287702,0.8028184812738675,0.554157050056543,-0.4978641652516459,0.6431501153067769,0.5856392297893619,0.20557906659039266,1.0,0.30275149859696826,0.8098939918123826,-0.6576197761755118,0.5418082409043048,0.8582215793174208,-0.8116355700300811,0.8103169311345044,0.8997718946925121,0.9622260575086564,0.951907801582108,0.49646791396687995,0.9327389265068519,0.8677060269435163,0.8815053402819674,0.826422004222062,-0.7692592400673749,0.68051478422472,0.9377783633429008,0.7587178187551523,0.9099880846077066,0.3195332866655195,0.6818629203387913,-0.8986049573057182,0.9462663014586721,-0.5556635729742924,0.8523743019881133,0.3346828590306761,0.9516709289371261,0.7910120987219825,-0.43825431959186223,-0.1280279810116902,0.6332288440310792,0.417185943877065,0.8318038223629667,0.8263838234580914,0.8393326300866896,0.9246214464515267,0.46519753772284805,0.8204075770453351,0.8687594103540786,0.9506251732477594,-0.937283359273421,0.9365072873609772,0.7894310140258379,0.808081194588849,0.9344530157384414,0.7131822325533446,0.6357097421973176,-0.6375450176128814,0.8425239264310105,0.9824130796590401,0.26727601556297687,0.16463403527449397,0.8717724467918017
