State,Description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
UNITED STATES,  Real GDP (millions of chained 2017 dollars) 1,4.8,4.1,1.0,1.7,2.8,3.8,3.5,2.8,2.0,0.1,-2.6,2.7,1.6,2.3,2.1,2.5,2.9,1.8,2.5,3.0,2.5,-2.2,5.8,1.9,2.5
UNITED STATES,  Real personal income (millions of constant (2017) dollars) 2,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.7,2.2,3.4,2.6,-0.2,3.6,4.5,1.7,3.1,3.0,3.3,5.8,4.7,-4.2,(NA)
UNITED STATES,  Real PCE (millions of constant (2017) dollars) 3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.3,1.9,1.7,1.4,1.7,2.8,3.4,2.5,2.6,2.7,2.0,-2.5,8.4,2.5,(NA)
UNITED STATES,  Gross domestic product (GDP),6.3,6.4,3.2,3.3,4.8,6.6,6.7,6.0,4.8,2.0,-2.0,3.9,3.7,4.2,3.9,4.3,3.9,2.8,4.3,5.3,4.2,-0.9,10.7,9.1,6.3
UNITED STATES,  Personal income,5.2,8.0,4.3,1.7,3.6,5.6,5.3,7.1,5.6,4.2,-2.9,4.1,6.0,4.6,1.1,5.1,4.7,2.7,4.9,5.1,4.7,6.9,9.1,2.0,5.2
UNITED STATES,  Disposable personal income,4.8,7.5,5.0,4.4,4.7,5.8,4.1,6.5,5.0,4.6,-0.1,3.7,4.7,4.6,-0.1,4.9,4.1,3.0,4.9,5.7,4.6,7.5,7.5,0.2,8.1
UNITED STATES,  Personal consumption expenditures,6.9,7.7,4.5,3.9,5.3,6.3,6.5,5.8,5.1,3.1,-1.6,3.7,4.3,3.3,3.1,4.3,3.6,3.5,4.4,4.8,3.5,-1.5,12.9,9.2,(NA)
UNITED STATES,  Real per capita personal income 4,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3.5,1.4,2.6,1.8,-0.9,2.8,3.6,0.9,2.4,2.4,2.7,5.4,4.6,-4.6,(NA)
UNITED STATES,  Real per capita PCE 5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.2,1.0,0.9,0.6,1.0,2.0,2.6,1.7,1.9,2.1,1.5,-2.9,8.2,2.1,(NA)
UNITED STATES,  Per capita personal income 6,4.0,6.9,3.3,0.8,2.7,4.7,4.3,6.1,4.6,3.2,-3.8,3.2,5.2,3.7,0.4,4.2,3.8,1.9,4.2,4.5,4.2,6.5,8.9,1.6,4.7
UNITED STATES,  Per capita disposable personal income 7,3.6,6.3,3.9,3.5,3.8,4.8,3.2,5.5,4.0,3.6,-1.0,2.8,3.9,3.8,-0.8,4.1,3.3,2.1,4.2,5.1,4.0,7.1,7.3,-0.2,7.6
UNITED STATES,  Per capita personal consumption expenditures (PCE) 8,5.7,6.5,3.5,2.9,4.4,5.4,5.5,4.8,4.1,2.1,-2.4,2.9,3.5,2.4,2.3,3.4,2.7,2.7,3.7,4.2,2.9,-1.8,12.8,8.7,(NA)
