date,mental health,depression,mentally ill,mental illness,unwell,not well,struggle,self harm,suicidal,i hate myself,anymore,help me,cutting,pain,kill me,anxiety,social anxiety,worse,unmotivated,lost,trauma,unwanted,bpd,ptsd,suicide,vulnerable,lonely,sad,miserable,low,hopeless,aching,always,never,down,stressed,helpless,worthless,insecure,stuck,hurting,numb,intrusive,don't know why,crying,nothing matters,empty,overwhelmed,hurt,tired,grippy socks,stressy depressy,suey,kms,kill myself,unalive,unaliving,crippling
2019-12-29,35,64,71,49,28,32,40,60,87,78,88,71,76,91,50,81,62,54,59,31,24,80,42,41,18,11,82,82,82,78,79,100,67,63,49,54,38,34,25,50,83,91,37,85,75,77,63,38,37,81,21,0,88,65,78,0,0,66
2020-01-05,48,74,66,58,28,39,45,61,80,83,87,74,78,91,49,89,63,55,65,27,27,82,43,50,18,20,78,78,73,81,73,89,65,59,48,67,40,38,28,46,84,89,46,90,78,64,72,44,36,85,22,0,76,67,70,0,0,76
2020-01-12,50,75,64,60,32,42,44,64,92,83,89,74,78,87,46,88,63,54,66,26,28,79,45,46,19,21,78,83,72,82,81,83,74,61,44,69,41,37,26,47,77,84,51,100,75,66,74,45,35,83,13,100,74,69,71,0,0,76
2020-01-19,50,76,63,59,30,44,48,66,100,84,87,74,79,87,47,90,73,55,70,25,28,81,45,48,20,18,77,83,77,86,81,82,67,61,44,71,40,37,25,47,79,85,57,82,78,63,78,47,37,87,9,62,82,69,68,0,0,72
2020-01-26,52,79,66,61,32,50,47,66,98,78,90,72,74,85,45,90,67,58,69,23,34,82,44,48,20,19,76,87,77,83,74,75,68,61,45,72,37,36,23,43,81,88,54,78,82,65,75,47,35,87,11,0,80,70,70,0,0,69
2020-02-02,55,78,63,61,34,48,50,69,86,81,86,72,76,89,43,100,69,60,69,24,32,77,44,45,22,18,79,79,70,78,73,72,70,59,43,74,42,37,25,43,80,86,57,79,72,67,78,45,35,83,8,0,82,71,75,0,0,78
2020-02-09,51,78,64,63,37,49,46,65,87,89,89,73,80,88,45,87,66,57,84,23,32,76,44,47,22,18,87,82,85,82,88,80,74,60,44,72,41,42,26,45,78,87,63,80,73,67,80,44,36,85,15,44,74,69,78,0,0,76
2020-02-16,54,82,73,63,32,51,48,75,94,94,88,78,80,91,50,93,77,54,75,25,32,78,46,49,26,18,88,84,72,82,83,83,72,61,42,73,43,39,28,46,84,88,56,79,76,72,84,47,37,88,14,41,72,74,84,0,0,77
2020-02-23,56,82,67,65,33,52,47,66,84,80,82,73,78,92,52,88,75,70,79,24,30,79,47,59,21,20,72,94,74,79,76,88,71,58,44,76,42,39,26,43,82,89,61,76,98,63,79,53,36,90,13,46,71,69,80,0,0,73
2020-03-01,52,80,60,63,43,52,49,72,81,77,81,75,80,88,54,87,65,72,73,23,30,79,47,58,19,21,71,100,69,80,79,74,73,63,45,74,42,39,25,44,82,86,58,70,77,65,85,44,35,89,10,47,73,64,74,0,0,75
2020-03-08,46,76,56,55,41,48,44,67,82,72,77,67,73,82,59,83,62,100,59,23,26,72,41,49,18,28,71,92,62,76,74,84,62,59,56,68,39,36,26,46,77,78,49,67,75,59,89,49,34,85,8,0,62,65,68,0,0,68
2020-03-15,42,75,48,43,44,46,41,52,75,73,76,78,72,86,58,81,47,97,44,26,21,71,35,40,15,79,76,85,61,68,83,81,67,68,89,66,42,37,27,58,76,75,39,70,77,65,91,62,32,72,0,0,60,59,64,0,0,68
