Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Less than high school graduate,Margin of Error!!Total!!Less than high school graduate,Estimate!!Total!!High school graduate (includes equivalency),Margin of Error!!Total!!High school graduate (includes equivalency),Estimate!!Total!!Some college or associate's degree,Margin of Error!!Total!!Some college or associate's degree,Estimate!!Total!!Bachelor's degree,Margin of Error!!Total!!Bachelor's degree,Estimate!!Total!!Graduate or professional degree,Margin of Error!!Total!!Graduate or professional degree,Estimate!!Total!!Male,Margin of Error!!Total!!Male,Estimate!!Total!!Male!!Less than high school graduate,Margin of Error!!Total!!Male!!Less than high school graduate,Estimate!!Total!!Male!!High school graduate (includes equivalency),Margin of Error!!Total!!Male!!High school graduate (includes equivalency),Estimate!!Total!!Male!!Some college or associate's degree,Margin of Error!!Total!!Male!!Some college or associate's degree,Estimate!!Total!!Male!!Bachelor's degree,Margin of Error!!Total!!Male!!Bachelor's degree,Estimate!!Total!!Male!!Graduate or professional degree,Margin of Error!!Total!!Male!!Graduate or professional degree,Estimate!!Total!!Female,Margin of Error!!Total!!Female,Estimate!!Total!!Female!!Less than high school graduate,Margin of Error!!Total!!Female!!Less than high school graduate,Estimate!!Total!!Female!!High school graduate (includes equivalency),Margin of Error!!Total!!Female!!High school graduate (includes equivalency),Estimate!!Total!!Female!!Some college or associate's degree,Margin of Error!!Total!!Female!!Some college or associate's degree,Estimate!!Total!!Female!!Bachelor's degree,Margin of Error!!Total!!Female!!Bachelor's degree,Estimate!!Total!!Female!!Graduate or professional degree,Margin of Error!!Total!!Female!!Graduate or professional degree,
Alabama,30406,253,17366,546,24849,669,30064,530,45502,1185,52476,1060,36307,525,20549,562,30622,523,37724,1472,60017,2752,71600,3285,24736,479,13299,875,19165,584,24624,583,36873,842,48801,1090,
Alaska,40575,704,20087,1945,30617,976,40159,1262,51137,1919,67634,6814,49686,2691,21458,2894,36552,2490,49215,3402,62488,5893,72452,6227,31950,875,18387,2070,22157,1848,32102,1982,41816,2390,60365,4214,
Arizona,32106,238,17638,752,25607,506,31751,332,46091,919,60051,2024,37027,447,20865,604,29339,1534,38294,1288,55139,2368,72807,3561,28172,658,14358,927,21971,429,27216,467,39411,1359,51047,902,
Arkansas,27498,544,18373,926,22895,712,27175,443,41102,607,54036,3592,32735,1289,20821,881,30035,1134,35666,642,48518,3143,69442,5629,22966,575,15848,818,18415,698,23312,842,36184,939,47987,1845,
California,35645,130,17937,220,27122,204,35735,193,52248,219,74423,1260,40498,151,20942,208,31211,226,41538,208,61989,358,90564,588,30800,157,14234,264,22848,438,30686,212,45699,493,61956,345,
Colorado,35764,304,19543,1223,26852,481,32651,955,45655,892,61536,753,41476,342,23122,1652,31662,565,40093,846,55842,1818,79911,3997,30280,314,14518,1675,21972,570,27734,879,36750,656,50243,1171,
Connecticut,41993,362,21807,649,31553,579,39035,1340,56329,1254,74050,1883,50781,408,25273,2408,39273,1882,46219,1050,69222,2657,92756,3913,35378,604,18974,1641,24743,1146,32370,929,45965,1634,61455,1339,
Delaware,36707,637,20888,1308,29043,1675,36140,1502,48943,2831,67628,4088,41943,938,23061,2677,33045,2604,41586,1631,55705,4987,88085,7259,31966,639,17509,3027,24707,2511,31019,1350,41992,1419,53107,3186,
District of Columbia,49512,2198,22249,2133,31309,812,35530,2993,56869,2716,77482,2737,50562,1358,23223,2459,31429,1161,35649,4662,61407,3259,85011,7830,47567,2552,21056,3885,31172,1320,35360,4225,54340,3635,71327,2405,
Florida,30108,128,16904,254,23936,400,30092,223,41992,294,55005,1168,32428,182,19127,541,26588,323,34314,1036,50583,493,67948,3479,26448,199,14443,483,21260,265,26256,296,37964,699,46985,633,
