Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Less than high school graduate,Margin of Error!!Total:!!Less than high school graduate,Estimate!!Total:!!High school graduate (includes equivalency),Margin of Error!!Total:!!High school graduate (includes equivalency),Estimate!!Total:!!Some college or associate's degree,Margin of Error!!Total:!!Some college or associate's degree,Estimate!!Total:!!Bachelor's degree,Margin of Error!!Total:!!Bachelor's degree,Estimate!!Total:!!Graduate or professional degree,Margin of Error!!Total:!!Graduate or professional degree,Estimate!!Total:!!Male:,Margin of Error!!Total:!!Male:,Estimate!!Total:!!Male:!!Less than high school graduate,Margin of Error!!Total:!!Male:!!Less than high school graduate,Estimate!!Total:!!Male:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency),Estimate!!Total:!!Male:!!Some college or associate's degree,Margin of Error!!Total:!!Male:!!Some college or associate's degree,Estimate!!Total:!!Male:!!Bachelor's degree,Margin of Error!!Total:!!Male:!!Bachelor's degree,Estimate!!Total:!!Male:!!Graduate or professional degree,Margin of Error!!Total:!!Male:!!Graduate or professional degree,Estimate!!Total:!!Female:,Margin of Error!!Total:!!Female:,Estimate!!Total:!!Female:!!Less than high school graduate,Margin of Error!!Total:!!Female:!!Less than high school graduate,Estimate!!Total:!!Female:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency),Estimate!!Total:!!Female:!!Some college or associate's degree,Margin of Error!!Total:!!Female:!!Some college or associate's degree,Estimate!!Total:!!Female:!!Bachelor's degree,Margin of Error!!Total:!!Female:!!Bachelor's degree,Estimate!!Total:!!Female:!!Graduate or professional degree,Margin of Error!!Total:!!Female:!!Graduate or professional degree,
Alabama,40362,368,25395,1256,31997,457,36662,602,52385,1641,65470,2103,49422,1393,30437,1459,40400,671,48234,2017,69340,2465,87542,6045,32391,626,19307,1500,24996,903,30353,772,42797,1514,56725,879,
Alaska,50554,840,31565,4207,39150,2210,44785,3147,60141,4609,80892,4612,57145,3167,34907,10431,44846,4445,53253,6308,70386,5809,91175,12084,41715,1216,26669,8505,30885,1805,37697,2319,51908,3191,77477,4523,
Arizona,44330,596,30289,610,35309,539,41543,467,57474,1416,74205,2191,50779,357,32311,1050,40002,885,48813,1803,71916,1593,90902,2973,38615,666,24155,1004,30478,681,36062,619,48022,1337,62888,1561,
Arkansas,37936,975,28714,2530,31600,545,35644,826,51046,838,63107,2858,42504,938,33853,2127,35795,751,42691,1418,63194,4377,77920,3719,32566,791,22485,1974,26808,700,30544,656,43377,2123,53245,2107,
California,50014,277,28501,377,36311,236,43044,590,71142,524,99341,1115,54588,688,32260,234,41489,243,51185,277,81683,717,118566,2861,41819,211,21634,339,30433,216,36973,330,61206,460,83741,906,
Colorado,51409,283,32220,1245,39362,1285,42459,825,63777,998,79017,2276,58783,1324,38050,1977,44040,1987,51152,644,75735,1675,96547,2830,44005,839,25409,1516,32042,845,36292,638,52668,1509,66700,1711,
Connecticut,53008,1305,30190,1401,39819,1219,45344,1299,69915,1973,88250,2067,62420,1191,31480,1247,45110,1581,54729,3159,82621,2649,104131,2064,46258,942,27509,3391,31538,1041,37179,1741,57977,2352,77791,2107,
Delaware,47422,1861,30387,2821,34262,2131,43479,2785,61378,2419,73888,3135,51896,1057,32321,3500,41276,1367,50430,3592,72210,6026,93015,6066,41837,1365,24055,5486,29326,1467,39144,4396,52072,4165,70019,6970,
District of Columbia,80697,2547,27423,5960,32051,2851,43079,5505,82612,2946,108170,4057,85602,4299,33529,9405,30721,3335,43713,7117,88655,7886,116835,5306,76922,3165,22089,9386,34377,4135,42628,8678,78760,4617,102581,2422,
Florida,40465,186,25755,494,31711,248,37236,275,51381,380,67954,1512,45169,405,29252,1083,36120,457,43087,859,61840,889,84191,1901,35465,301,20748,558,26802,353,32519,462,45845,595,59116,1295,
Georgia,43055,713,27341,922,32398,484,38476,1028,60454,955,72973,1511,50533,309,31472,874,38021,924,46774,927,72094,1481,92314,3946,37468,612,22026,1490,26614,720,32576,748,50400,867,63148,1499,
Hawaii,44841,1321,28885,3475,35586,1201,41095,947,55171,2912,73122,1919,51803,1104,34969,5411,40487,1475,50376,2208,65039,3038,86884,7032,39192,1322,24407,3179,29832,2633,35858,1066,48438,2532,63576,2929,
Idaho,40800,636,30768,2234,32925,2466,37877,1221,50581,1265,68649,5942,48807,1370,36954,3335,39524,2185,47974,2152,63886,4427,91666,7010,32707,1251,21116,2246,25442,1111,29883,2760,40989,1564,60099,3984,
