date,mental health,depression,mentally ill,mental illness,unwell,not well,struggle,self harm,suicidal,i hate myself,anymore,help me,cutting,pain,kill me,anxiety,social anxiety,worse,unmotivated,lost,trauma,unwanted,bpd,ptsd,suicide,vulnerable,lonely,sad,miserable,low,hopeless,aching,always,never,down,stressed,helpless,worthless,insecure,stuck,hurting,numb,intrusive,don't know why,crying,nothing matters,empty,overwhelmed,hurt,tired,grippy socks,stressy depressy,suey,kms,kill myself,unalive,unaliving,crippling
2005-01-01,61,90,76,72,59,13,24,47,37,93,9,58,54,45,21,43,72,32,31,31,40,63,17,24,20,10,62,27,32,78,30,48,38,46,67,7,43,50,10,31,15,81,17,0,34,48,62,8,16,34,0,0,62,31,49,0,0,12
2005-02-01,70,98,94,77,63,13,28,56,45,100,9,58,58,46,24,43,64,28,36,32,48,59,17,24,25,11,73,26,47,75,29,54,39,47,67,8,40,51,10,29,16,72,19,0,36,46,64,8,18,33,0,0,61,34,52,0,0,14
2005-03-01,68,98,87,80,60,13,29,52,43,90,9,57,57,44,20,41,57,26,46,34,41,55,16,24,28,10,77,26,36,72,29,49,38,45,68,8,42,53,9,27,16,68,16,0,33,46,62,9,18,33,0,0,65,34,48,0,0,11
2005-04-01,66,100,92,81,62,14,33,55,43,84,9,60,56,47,21,46,63,27,48,38,45,57,18,26,22,11,96,27,39,77,29,52,40,47,74,9,41,50,9,26,17,55,18,0,36,52,60,9,19,33,0,0,68,37,51,0,0,11
2005-05-01,64,97,77,78,60,15,38,56,39,75,9,61,58,44,22,41,56,27,37,40,41,53,16,26,21,10,100,27,27,76,28,52,39,53,85,8,46,45,10,28,16,51,20,0,38,48,63,8,18,32,0,0,76,38,53,0,0,15
2005-06-01,61,74,66,66,53,13,35,48,38,71,9,54,57,44,24,39,59,24,34,35,40,56,18,24,18,9,100,27,26,70,31,49,38,49,80,7,41,48,10,29,13,47,12,0,35,48,58,7,18,32,0,0,78,36,45,0,0,12
2005-07-01,58,73,66,60,52,13,26,42,35,72,10,55,52,44,22,40,55,28,28,34,40,53,19,21,19,9,87,26,24,73,30,57,38,47,76,6,41,46,10,31,16,59,10,0,34,52,60,9,19,32,51,0,76,35,46,0,0,10
2005-08-01,58,71,64,59,52,14,24,36,33,84,9,54,52,41,21,40,59,41,27,46,41,54,18,22,18,11,78,25,39,69,29,54,42,48,72,6,41,48,9,31,15,48,11,0,37,50,58,8,19,32,0,0,74,37,49,0,0,13
2005-09-01,62,75,63,64,43,13,25,41,36,83,9,59,48,43,23,42,58,51,41,55,43,51,18,23,20,11,61,26,87,63,27,46,39,48,74,7,41,46,10,31,15,42,14,0,33,46,63,11,20,34,0,0,79,37,56,0,0,15
2005-10-01,63,94,72,78,45,16,31,42,42,76,10,56,54,44,23,42,60,40,35,56,45,49,19,26,22,10,56,28,62,64,31,49,41,48,76,8,38,47,10,30,16,42,16,0,36,55,62,10,21,31,0,0,76,42,53,0,0,10
2005-11-01,61,94,75,79,40,16,38,47,44,83,9,55,57,45,22,43,61,37,36,52,42,48,18,27,23,12,56,29,52,64,31,49,44,49,76,9,43,53,10,33,17,42,16,0,38,66,60,9,26,35,0,0,75,37,53,0,0,12
2005-12-01,51,84,64,61,43,16,37,38,38,76,9,55,53,43,24,37,54,33,37,51,35,51,17,21,21,8,57,30,76,61,29,49,42,51,78,8,43,50,9,34,15,44,15,0,37,82,58,10,24,34,0,0,81,33,50,0,0,11
2006-01-01,58,90,58,60,42,15,38,44,36,60,9,52,53,48,22,41,57,34,35,59,38,55,17,21,20,9,58,30,76,67,28,50,41,49,72,7,38,49,9,33,15,39,14,0,37,70,59,9,25,33,0,0,83,36,48,0,0,7
2006-02-01,59,91,66,64,45,16,35,47,35,70,9,55,54,42,21,41,62,29,42,53,40,47,16,22,20,10,53,30,94,66,27,50,41,48,69,8,41,53,9,30,15,41,17,0,36,63,57,10,24,36,0,0,73,36,46,0,0,17
2006-03-01,61,94,70,70,43,15,36,52,36,62,8,57,55,44,21,41,53,31,52,54,42,46,16,23,20,11,52,29,93,65,25,47,41,47,68,7,33,53,10,31,16,40,15,0,39,61,56,7,25,35,0,0,74,41,46,0,0,14
2006-04-01,58,90,71,70,45,16,38,42,36,66,9,61,50,44,22,41,54,30,37,58,39,48,16,25,21,11,53,28,58,63,28,50,40,51,67,8,36,49,9,30,16,42,16,0,35,61,55,8,22,32,0,0,73,38,47,0,0,12
2006-05-01,58,88,66,64,40,15,38,45,36,62,11,54,55,46,24,38,49,30,41,78,44,45,17,23,19,12,54,29,46,65,25,46,43,55,68,8,34,41,8,29,16,39,17,0,36,60,55,9,22,32,0,0,72,42,53,0,0,10
2006-06-01,55,66,52,53,48,14,36,37,33,60,10,50,53,42,23,36,45,31,29,46,41,47,18,20,18,11,50,28,32,59,24,48,43,51,69,6,30,40,9,29,15,42,11,0,37,66,54,8,22,30,0,0,68,37,37,0,0,13
2006-07-01,52,60,52,46,44,14,28,30,33,61,12,49,49,43,23,36,43,30,38,47,38,51,17,19,18,11,53,28,19,70,24,52,42,48,66,6,29,44,8,31,15,49,11,0,38,62,55,8,22,30,0,0,65,39,46,0,0,12
2006-08-01,53,63,46,46,42,14,27,28,30,57,13,44,47,44,23,36,48,31,26,47,39,51,18,19,16,11,53,26,39,70,25,50,41,45,64,6,29,44,8,31,16,52,11,0,35,65,55,10,22,30,0,0,65,40,38,0,0,9
2006-09-01,58,71,60,57,38,14,32,32,29,52,13,52,52,44,24,40,45,31,36,53,42,46,16,19,19,11,49,26,53,69,20,49,39,47,66,7,29,39,8,29,16,54,11,0,37,63,56,11,30,28,0,0,66,44,52,0,0,13
2006-10-01,61,79,60,62,38,14,36,31,33,60,12,49,51,44,23,40,47,32,35,68,43,47,18,22,19,12,46,29,46,68,21,46,39,48,65,7,31,41,9,30,16,48,20,0,38,60,58,10,39,28,0,0,68,48,49,0,0,12
2006-11-01,54,78,60,59,30,14,39,43,32,57,11,47,51,44,25,35,45,32,39,54,42,44,17,23,17,12,44,28,100,60,19,49,40,48,61,7,31,40,8,33,15,47,17,0,38,57,55,10,49,30,0,0,61,42,49,17,0,8
2006-12-01,42,67,46,50,35,13,39,28,32,52,11,46,46,42,23,32,41,33,36,42,39,41,16,20,17,10,46,27,77,56,22,45,38,51,65,7,28,37,9,32,16,51,13,0,36,62,51,9,44,26,0,0,61,48,39,28,0,10
