state,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Less than high school graduate,Margin of Error!!Total!!Less than high school graduate,Estimate!!Total!!High school graduate (includes equivalency),Margin of Error!!Total!!High school graduate (includes equivalency),Estimate!!Total!!Some college or associate's degree,Margin of Error!!Total!!Some college or associate's degree,Estimate!!Total!!Bachelor's degree,Margin of Error!!Total!!Bachelor's degree,Estimate!!Total!!Graduate or professional degree,Margin of Error!!Total!!Graduate or professional degree,Estimate!!Total!!Male,Margin of Error!!Total!!Male,Estimate!!Total!!Male!!Less than high school graduate,Margin of Error!!Total!!Male!!Less than high school graduate,Estimate!!Total!!Male!!High school graduate (includes equivalency),Margin of Error!!Total!!Male!!High school graduate (includes equivalency),Estimate!!Total!!Male!!Some college or associate's degree,Margin of Error!!Total!!Male!!Some college or associate's degree,Estimate!!Total!!Male!!Bachelor's degree,Margin of Error!!Total!!Male!!Bachelor's degree,Estimate!!Total!!Male!!Graduate or professional degree,Margin of Error!!Total!!Male!!Graduate or professional degree,Estimate!!Total!!Female,Margin of Error!!Total!!Female,Estimate!!Total!!Female!!Less than high school graduate,Margin of Error!!Total!!Female!!Less than high school graduate,Estimate!!Total!!Female!!High school graduate (includes equivalency),Margin of Error!!Total!!Female!!High school graduate (includes equivalency),Estimate!!Total!!Female!!Some college or associate's degree,Margin of Error!!Total!!Female!!Some college or associate's degree,Estimate!!Total!!Female!!Bachelor's degree,Margin of Error!!Total!!Female!!Bachelor's degree,Estimate!!Total!!Female!!Graduate or professional degree,Margin of Error!!Total!!Female!!Graduate or professional degree,Unnamed: 37
ALABAMA,36084,340,22738,1250,29436,878,32826,961,50081,972,61177,1135,43952,1226,27126,1232,36009,659,43228,2093,63089,3314,84519,4717,29529,786,16287,1157,21743,494,26923,563,40870,855,52156,862,
ALASKA,46189,1256,25840,2938,35328,2045,44619,2440,57708,4991,77402,6295,51904,770,28335,7134,41221,1358,50805,1250,72239,6601,91671,7326,38823,2486,22465,4413,26962,2921,36716,2369,49430,3911,66414,6106,
ARIZONA,37464,401,23893,575,30617,382,36486,408,51576,625,66004,1400,42527,698,26996,740,33353,1195,42559,1035,62789,2542,81550,2443,32626,534,19989,977,25871,673,31429,388,43836,1422,55622,1366,
ARKANSAS,35209,478,23899,1066,29805,1239,32401,865,46919,1030,61185,1590,40411,519,27626,1717,34049,1169,39147,1806,58297,3681,80255,7508,30300,548,19183,1659,22496,650,29153,1255,41124,960,53029,2340,
CALIFORNIA,42156,126,24263,260,31954,181,39614,481,62347,291,90204,499,49434,462,28225,488,37216,331,46948,491,75350,594,104035,2781,36484,198,18510,330,26211,301,32608,491,52571,767,76281,725,
COLORADO,44885,690,29312,1760,35013,788,39129,901,54937,1341,68181,2341,51372,368,34702,1514,40431,777,46730,957,67257,1587,85602,2987,37233,387,21364,986,27981,1317,32353,520,45945,847,56506,1286,
CONNECTICUT,50202,381,25769,1546,35446,797,41716,611,64398,2320,83968,2966,57490,1649,30300,1470,41815,1194,50761,953,77382,2961,102012,2677,41303,627,20751,1075,29031,1388,35422,1097,52455,1489,71133,1360,
DELAWARE,40661,726,24961,2298,32173,1203,36893,1811,52267,2882,70036,3404,45538,1552,30002,2588,37352,2874,44599,3860,64713,6147,90061,7277,34867,1266,20300,3545,26765,2305,31464,1154,48418,3345,63545,3843,
DISTRICT OF COLUMBIA,66589,1502,25601,2814,31165,1459,37064,3596,68183,3279,100698,1370,72186,2694,27241,5605,31794,3005,38457,5365,75529,4239,114377,6745,61862,962,20563,5280,30609,1946,36411,4739,61771,2108,90096,4467,
FLORIDA,35254,196,22097,316,27900,494,33334,453,46380,458,61748,596,40065,297,26294,593,31663,306,39045,974,54482,1726,78851,2739,31012,182,17728,619,23407,427,30232,330,40960,340,52140,485,
