state,2015,2020,2019,2018,2012,2014,2017,2016,2021,2022,2023
AK,103.0,89.0,93.0,91.0,83.0,100.0,86.0,99.0,186.0,184.0,169.0
AL,197.0,156.0,180.0,177.0,247.0,201.0,175.0,193.0,380.0,351.0,311.0
AR,259.0,207.0,202.0,227.0,265.0,265.0,218.0,235.0,397.0,382.0,336.0
AZ,386.0,433.0,421.0,365.0,381.0,436.0,372.0,378.0,955.0,894.0,872.0
CA,913.0,970.0,952.0,851.0,940.0,880.0,866.0,880.0,3467.0,3201.0,2930.0
CO,203.0,189.0,190.0,182.0,188.0,202.0,185.0,186.0,652.0,559.0,515.0
CT,241.0,221.0,230.0,227.0,304.0,251.0,216.0,233.0,462.0,408.0,359.0
DC,38.0,36.0,39.0,35.0,47.0,39.0,37.0,41.0,80.0,83.0,64.0
DE,31.0,36.0,36.0,36.0,52.0,43.0,33.0,29.0,103.0,101.0,96.0
FL,523.0,494.0,520.0,482.0,466.0,546.0,469.0,490.0,1438.0,1389.0,1274.0
GA,236.0,225.0,236.0,219.0,268.0,229.0,200.0,219.0,638.0,609.0,541.0
HI,47.0,37.0,39.0,38.0,49.0,63.0,35.0,45.0,206.0,199.0,173.0
IA,166.0,152.0,143.0,141.0,164.0,176.0,150.0,155.0,360.0,328.0,423.0
ID,199.0,137.0,140.0,127.0,175.0,210.0,146.0,177.0,298.0,292.0,237.0
IL,447.0,397.0,397.0,364.0,476.0,480.0,389.0,392.0,1240.0,1217.0,1100.0
IN,304.0,284.0,285.0,288.0,367.0,319.0,275.0,301.0,719.0,678.0,800.0
KS,130.0,121.0,115.0,121.0,143.0,139.0,123.0,119.0,310.0,300.0,255.0
KY,218.0,210.0,218.0,215.0,217.0,205.0,208.0,221.0,795.0,777.0,813.0
LA,186.0,171.0,189.0,182.0,199.0,176.0,176.0,187.0,458.0,445.0,357.0
MA,340.0,310.0,330.0,305.0,403.0,354.0,315.0,339.0,903.0,860.0,790.0
MD,305.0,276.0,282.0,247.0,329.0,309.0,264.0,292.0,902.0,849.0,1310.0
ME,217.0,187.0,181.0,180.0,182.0,209.0,186.0,203.0,425.0,408.0,333.0
MI,375.0,377.0,368.0,353.0,383.0,355.0,337.0,359.0,858.0,798.0,750.0
MN,243.0,259.0,266.0,235.0,281.0,241.0,224.0,240.0,818.0,827.0,751.0
MO,238.0,212.0,208.0,211.0,254.0,226.0,212.0,219.0,534.0,534.0,493.0
MS,210.0,179.0,169.0,171.0,265.0,207.0,173.0,181.0,361.0,307.0,244.0
MT,97.0,99.0,85.0,83.0,92.0,108.0,87.0,88.0,273.0,246.0,196.0
NC,342.0,314.0,297.0,287.0,629.0,395.0,257.0,304.0,1098.0,1060.0,965.0
ND,33.0,35.0,33.0,34.0,35.0,29.0,32.0,32.0,128.0,125.0,107.0
NE,122.0,147.0,145.0,136.0,106.0,114.0,133.0,130.0,264.0,254.0,245.0
NH,67.0,70.0,70.0,58.0,67.0,65.0,63.0,62.0,208.0,204.0,177.0
NJ,335.0,320.0,313.0,313.0,330.0,352.0,306.0,318.0,813.0,822.0,762.0
NM,77.0,71.0,69.0,65.0,111.0,68.0,58.0,72.0,278.0,264.0,231.0
NV,52.0,67.0,66.0,48.0,44.0,46.0,46.0,51.0,201.0,231.0,248.0
NY,985.0,802.0,860.0,845.0,1176.0,1110.0,843.0,897.0,1916.0,1847.0,1652.0
OH,589.0,621.0,616.0,563.0,579.0,582.0,551.0,574.0,1366.0,1374.0,1334.0
OK,150.0,166.0,145.0,146.0,133.0,164.0,143.0,148.0,371.0,354.0,296.0
OR,185.0,174.0,183.0,164.0,201.0,194.0,156.0,170.0,466.0,474.0,428.0
PA,612.0,563.0,585.0,561.0,560.0,635.0,571.0,586.0,1292.0,1278.0,1150.0
PR,96.0,69.0,79.0,78.0,76.0,109.0,59.0,88.0,210.0,167.0,137.0
RI,64.0,50.0,63.0,56.0,80.0,68.0,56.0,62.0,124.0,125.0,111.0
SC,132.0,111.0,106.0,105.0,140.0,133.0,109.0,121.0,256.0,253.0,236.0
SD,54.0,47.0,49.0,49.0,70.0,55.0,51.0,48.0,110.0,108.0,97.0
TN,314.0,280.0,298.0,277.0,336.0,321.0,274.0,292.0,625.0,590.0,570.0
TX,382.0,363.0,384.0,337.0,378.0,340.0,341.0,362.0,1151.0,1099.0,1002.0
UT,111.0,265.0,240.0,151.0,121.0,119.0,138.0,116.0,603.0,594.0,518.0
VA,289.0,281.0,291.0,247.0,316.0,316.0,265.0,273.0,588.0,610.0,604.0
VT,76.0,60.0,68.0,73.0,89.0,85.0,74.0,76.0,125.0,124.0,110.0
WA,266.0,352.0,398.0,356.0,245.0,260.0,317.0,283.0,882.0,827.0,767.0
WI,451.0,411.0,429.0,405.0,585.0,462.0,420.0,430.0,717.0,658.0,541.0
WV,124.0,119.0,117.0,121.0,115.0,117.0,114.0,113.0,254.0,236.0,230.0
WY,54.0,44.0,45.0,48.0,53.0,55.0,42.0,51.0,84.0,83.0,88.0
