state,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Income in the past 12 months below poverty level,Margin of Error!!Total!!Income in the past 12 months below poverty level,Estimate!!Total!!Income in the past 12 months below poverty level!!Married-couple family,Margin of Error!!Total!!Income in the past 12 months below poverty level!!Married-couple family,Estimate!!Total!!Income in the past 12 months below poverty level!!Married-couple family!!Less than high school graduate,Margin of Error!!Total!!Income in the past 12 months below poverty level!!Married-couple family!!Less than high school graduate,Estimate!!Total!!Income in the past 12 months below poverty level!!Married-couple family!!High school graduate (includes equivalency),Margin of Error!!Total!!Income in the past 12 months below poverty level!!Married-couple family!!High school graduate (includes equivalency),"Estimate!!Total!!Income in the past 12 months below poverty level!!Married-couple family!!Some college, associate's degree","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Married-couple family!!Some college, associate's degree",Estimate!!Total!!Income in the past 12 months below poverty level!!Married-couple family!!Bachelor's degree or higher,Margin of Error!!Total!!Income in the past 12 months below poverty level!!Married-couple family!!Bachelor's degree or higher,Estimate!!Total!!Income in the past 12 months below poverty level!!Other families,Margin of Error!!Total!!Income in the past 12 months below poverty level!!Other families,"Estimate!!Total!!Income in the past 12 months below poverty level!!Other families!!Male householder, no wife present","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Other families!!Male householder, no wife present","Estimate!!Total!!Income in the past 12 months below poverty level!!Other families!!Male householder, no wife present!!Less than high school graduate","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Other families!!Male householder, no wife present!!Less than high school graduate","Estimate!!Total!!Income in the past 12 months below poverty level!!Other families!!Male householder, no wife present!!High school graduate (includes equivalency)","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Other families!!Male householder, no wife present!!High school graduate (includes equivalency)","Estimate!!Total!!Income in the past 12 months below poverty level!!Other families!!Male householder, no wife present!!Some college, associate's degree","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Other families!!Male householder, no wife present!!Some college, associate's degree","Estimate!!Total!!Income in the past 12 months below poverty level!!Other families!!Male householder, no wife present!!Bachelor's degree or higher","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Other families!!Male householder, no wife present!!Bachelor's degree or higher","Estimate!!Total!!Income in the past 12 months below poverty level!!Other families!!Female householder, no husband present","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Other families!!Female householder, no husband present","Estimate!!Total!!Income in the past 12 months below poverty level!!Other families!!Female householder, no husband present!!Less than high school graduate","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Other families!!Female householder, no husband present!!Less than high school graduate","Estimate!!Total!!Income in the past 12 months below poverty level!!Other families!!Female householder, no husband present!!High school graduate (includes equivalency)","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Other families!!Female householder, no husband present!!High school graduate (includes equivalency)","Estimate!!Total!!Income in the past 12 months below poverty level!!Other families!!Female householder, no husband present!!Some college, associate's degree","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Other families!!Female householder, no husband present!!Some college, associate's degree","Estimate!!Total!!Income in the past 12 months below poverty level!!Other families!!Female householder, no husband present!!Bachelor's degree or higher","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Other families!!Female householder, no husband present!!Bachelor's degree or higher",Estimate!!Total!!Income in the past 12 months at or above poverty level,Margin of Error!!Total!!Income in the past 12 months at or above poverty level,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Married-couple family,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Married-couple family,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Married-couple family!!Less than high school graduate,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Married-couple family!!Less than high school graduate,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Married-couple family!!High school graduate (includes equivalency),Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Married-couple family!!High school graduate (includes equivalency),"Estimate!!Total!!Income in the past 12 months at or above poverty level!!Married-couple family!!Some college, associate's degree","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Married-couple family!!Some college, associate's degree",Estimate!!Total!!Income in the past 12 months at or above poverty level!!Married-couple family!!Bachelor's degree or higher,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Married-couple family!!Bachelor's degree or higher,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Other families,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Other families,"Estimate!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Male householder, no wife present","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Male householder, no wife present","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Male householder, no wife present!!Less than high school graduate","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Male householder, no wife present!!Less than high school graduate","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Male householder, no wife present!!High school graduate (includes equivalency)","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Male householder, no wife present!!High school graduate (includes equivalency)","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Male householder, no wife present!!Some college, associate's degree","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Male householder, no wife present!!Some college, associate's degree","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Male householder, no wife present!!Bachelor's degree or higher","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Male householder, no wife present!!Bachelor's degree or higher","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Female householder, no husband present","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Female householder, no husband present","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Female householder, no husband present!!Less than high school graduate","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Female householder, no husband present!!Less than high school graduate","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Female householder, no husband present!!High school graduate (includes equivalency)","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Female householder, no husband present!!High school graduate (includes equivalency)","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Female householder, no husband present!!Some college, associate's degree","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Female householder, no husband present!!Some college, associate's degree","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Female householder, no husband present!!Bachelor's degree or higher","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Other families!!Female householder, no husband present!!Bachelor's degree or higher",Unnamed: 71
ALABAMA,1208362,12930,153533,6747,50835,3482,15077,2093,17249,2233,13773,1658,4736,945,102698,5618,14974,2257,4548,1125,5991,1685,3232,902,1203,541,87724,4979,22387,2944,30782,2828,29801,3020,4754,1245,1054829,12563,813495,11349,64519,4078,202762,6961,260724,7140,285490,6428,241334,8111,66086,3751,12167,1757,21995,2607,20486,2653,11438,1638,175248,7091,23873,2258,45436,3090,67499,4063,38440,3096,
ALASKA,164102,4083,11031,1425,3459,733,355,271,1705,470,1090,407,309,193,7572,1267,1714,571,314,124,1076,473,324,221,0,155,5858,1178,753,246,2990,743,1905,746,210,190,153071,3995,118709,3785,3569,731,22943,2117,45197,2866,47000,2771,34362,2942,12680,1622,1061,418,4468,952,4084,1015,3067,844,21682,2287,1325,314,6785,1452,9158,1361,4414,1023,
ARIZONA,1648739,12489,196536,6247,83947,4474,25459,2794,22437,2257,25285,2678,10766,1243,112589,4577,23775,2545,7173,1451,6701,1324,7763,1417,2138,727,88814,4004,27724,2611,23662,2602,30955,2592,6473,1451,1452203,12382,1110238,12256,89177,4888,195087,6757,391879,8181,434095,8747,341965,9523,113734,4887,18309,3086,30826,3347,38604,3209,25995,2544,228231,8273,28050,2661,50934,3977,93892,5117,55355,3644,
ARKANSAS,747917,9249,92514,4600,33989,3299,8525,1544,13111,1845,9795,2043,2558,810,58525,3796,8538,1561,2149,761,3813,1104,2345,824,231,232,49987,3426,11094,2063,15999,2194,19959,2337,2935,883,655403,8698,516008,8789,47306,3277,151003,6272,158203,5538,159496,5253,139395,6477,38683,3308,7111,1423,14154,2060,11806,1985,5612,1221,100712,5134,10538,1533,31310,3120,37560,3308,21304,2225,
CALIFORNIA,8887761,26268,929253,15252,402274,10726,165343,6256,95459,5784,83497,4724,57975,3819,526979,10594,110032,5172,43789,3478,29639,3337,27660,2493,8944,1581,416947,10118,142564,6136,106115,5350,132130,6906,36138,2783,7958508,29205,6004619,36008,764918,11267,907485,17304,1749920,17581,2582296,21706,1953889,22962,667221,14470,124590,5433,160185,6941,223550,8175,158896,5719,1286668,17647,212092,7830,259613,8456,472687,12167,342276,9629,
COLORADO,1347936,10110,94425,5097,39817,3128,10430,1718,9510,1448,12614,1873,7263,942,54608,4253,9426,1554,1873,777,3279,917,3206,815,1068,441,45182,3988,9957,2007,11952,1893,18231,2286,5042,1156,1253511,11197,1011571,10549,50689,3469,165842,6643,296885,7798,498155,8543,241940,7050,89393,4945,9217,1546,24621,3340,29524,2814,26031,2180,152547,5116,13777,1874,32636,2938,55804,3559,50330,3207,
CONNECTICUT,880600,11466,60300,4330,17962,2341,5203,1410,5054,1219,3739,1037,3966,980,42338,3549,5340,1283,1382,647,2228,777,1561,681,169,136,36998,3202,8336,1455,13561,1936,11967,2025,3134,878,820300,10426,630487,8617,31841,2903,127395,6091,150166,5503,321085,5619,189813,7213,54171,3888,6875,1705,17303,2751,16072,2005,13921,1869,135642,5618,12114,1583,40857,3559,46575,3613,36096,2845,
DELAWARE,232433,5605,18768,2095,5976,1251,1288,578,2633,809,1177,479,878,433,12792,1794,1549,623,364,289,747,434,303,282,135,169,11243,1623,2361,759,4166,1010,3899,1010,817,554,213665,5418,161330,4966,9582,1418,38372,3079,46269,3536,67107,3638,52335,3485,12381,1800,1782,605,4475,1286,2957,718,3167,930,39954,3065,3204,1000,14195,2008,12713,2248,9842,1439,
DISTRICT OF COLUMBIA,122732,3407,16834,1966,1797,794,526,402,577,422,198,171,496,423,15037,1825,1147,546,274,283,492,277,67,111,314,238,13890,1695,4813,1266,4963,1021,3162,1021,952,444,105898,3566,69407,3623,2796,924,5958,1309,6925,1134,53728,2750,36491,2964,8088,1452,918,473,2606,782,2503,793,2061,667,28403,2439,4051,949,7984,1488,9059,1416,7309,1394,
FLORIDA,4864461,24241,509616,11766,212586,8397,51461,3737,66228,4550,56419,4112,38478,3906,297030,9329,50695,3961,15410,2440,18387,2347,12399,1955,4499,1224,246335,8534,55852,4129,89103,5626,76655,4562,24725,2843,4354845,24292,3301208,22640,236381,7220,738706,13372,1034270,15331,1291851,19223,1053637,16811,314178,9800,43189,3162,102849,5915,101651,5965,66489,4457,739459,13289,79206,5477,205478,7111,265558,8957,189217,7457,
GEORGIA,2479003,18252,296261,9486,98369,5596,28540,2936,30241,2932,24150,3025,15438,2129,197892,8132,31403,3648,10620,1992,9830,1981,7867,1759,3086,1212,166489,7280,39540,3494,55532,5094,58941,4707,12476,2030,2182742,17899,1649727,17956,131309,6511,367416,8621,477248,10688,673754,12014,533015,12699,143559,6820,24200,2339,46203,3815,46182,4349,26974,2885,389456,10800,43878,3512,93887,5229,142022,7092,109669,5963,
HAWAII,315505,5105,18826,2161,9188,1635,893,449,3152,729,2790,1054,2353,714,9638,1405,1456,499,413,294,689,395,288,242,66,81,8182,1367,971,470,2473,762,3165,960,1573,709,296679,5251,227048,4442,10719,1727,44378,2728,79376,3813,92575,3317,69631,4306,24561,2657,2265,912,8981,1538,8598,1695,4717,1023,45070,3331,4550,1094,12657,1846,15400,2177,12463,1541,
IDAHO,411617,7286,41274,3641,18995,2493,2496,726,4625,1313,8066,1478,3808,978,22279,2652,4329,1196,997,655,1532,737,1688,772,112,128,17950,2358,2500,928,7016,1725,6641,1394,1793,732,370343,7745,309911,7489,21003,2572,64870,4886,111529,5270,112509,4860,60432,4200,23065,2770,2858,1053,6720,1387,8243,1726,5244,1225,37367,2831,4413,1196,9867,1631,15903,2058,7184,1295,
ILLINOIS,3100613,17145,293044,9264,100093,4879,26811,2327,31247,2697,24665,2499,17370,1977,192951,7560,30567,2824,8559,1662,10679,1276,8904,1669,2425,825,162384,6885,35381,3362,51339,3787,62001,4067,13663,1919,2807569,16895,2166693,16751,156232,5472,438634,9145,633370,10522,938457,11068,640876,13610,193591,7947,25670,2241,61701,4564,64265,4204,41955,3042,447285,9858,43961,2974,109866,5514,171333,6750,122125,5009,
INDIANA,1645758,11176,157720,5867,55277,3038,15412,1990,20079,1862,14281,1836,5505,1101,102443,5331,15008,2308,4873,1405,5027,1101,4290,998,818,459,87435,5238,18396,2284,31967,2947,32893,3385,4179,944,1488038,11737,1169978,10886,78491,3671,338821,8322,359522,8723,393144,8069,318060,8570,106359,4548,14083,2166,41264,3359,33190,2749,17822,1853,211701,7092,22285,2382,63718,4108,80486,4678,45212,3283,
